Array size: 1920000		Iterations: 10000		Message size: 50		Halo depth: 1	Processors used: 512
Run		Stream time	Exchange time
0		0.000194	115.730221
1		0.000191	115.752355
2		0.000146	115.780869
3		0.000288	115.754223
4		0.000135	115.750612
5		0.000124	115.727894
6		0.000173	115.715691
7		0.000160	115.733852
8		0.000169	115.746710
9		0.000201	115.784471
Average:	0.000178	115.747690
Deviation:	0.000044	0.021072
