Array size: 100		Iterations: 1000000		Message size: 50		Halo depth: 1	Processors used: 4
Run		Stream time	Exchange time
Discarded:	0.286212	2.705136
1		0.299033	2.626568
2		0.294532	2.676980
3		0.290938	2.573250
4		0.283565	2.617006
5		0.290422	2.753265
6		0.297510	2.810159
7		0.287408	2.599598
8		0.291615	2.695813
9		0.295128	2.800615
10		0.297152	2.699895
Average:	0.292730	2.685315
Deviation:	0.004618	0.078685
