Array size: 60000		Iterations: 100000		Message size: 5		Halo depth: 10	Processors used: 16384
Run		Stream time	Exchange time
0		3.586176	0.000072
1		3.223679	0.000429
2		3.226626	0.001186
3		3.224957	0.000079
4		3.224732	0.000155
5		3.224844	0.000220
6		3.222993	0.001855
7		3.258667	0.001183
8		3.253561	0.000154
9		3.224480	0.000302
Average:	3.267072	0.000564
Deviation:	0.107101	0.000588
