Array size: 60000		Iterations: 100000		Message size: 5		Halo depth: 10	Processors used: 16384
Run		Stream time	Exchange time
0		4.486604	0.000542
1		3.256432	0.000113
2		3.239321	0.000580
3		3.288482	0.001111
4		3.278112	0.000138
5		3.267256	0.000285
6		3.248140	0.000777
7		3.240443	0.001651
8		3.244371	0.000683
9		3.238996	0.000448
Average:	3.378816	0.000633
Deviation:	0.369625	0.000444
