Array size: 1920000		Iterations: 100000		Message size: 1		Processors used: 512
Run		Stream time	Exchange time
0		895.362598	0.000212
1		895.366405	0.000045
2		895.510646	0.000043
3		895.340252	0.000080
4		895.451523	0.000027
5		895.327355	0.000133
6		895.370930	0.000031
7		895.495256	0.000024
8		895.493046	0.000017
9		895.275173	0.000017
Average:	895.399318	0.000063
Deviation:	0.077734	0.000060
