Array size: 1920000		Iterations: 100000		Message size: 100		Processors used: 512
Run		Stream time	Exchange time
0		891.327675	0.000077
1		890.799341	0.000204
2		891.222732	0.000019
3		891.133737	0.000758
4		890.860638	0.000061
5		890.971922	0.000033
6		890.840184	0.000023
7		890.995033	0.000040
8		891.249318	0.000021
9		891.072499	0.000059
Average:	891.047308	0.000130
Deviation:	0.174912	0.000216
