Array size: 1920000		Iterations: 100000		Message size: 50		Processors used: 512
Run		Stream time	Exchange time
0		0.000229	1155.266524
1		0.000180	1155.544461
2		0.000153	1155.454130
3		0.000158	1155.322708
4		0.000264	1154.929055
5		0.000192	1155.811628
6		0.000329	1154.848704
7		0.000153	1156.064024
8		0.000192	1156.146867
9		0.000193	1156.652579
Average:	0.000204	1155.604068
Deviation:	0.000053	0.537959
