Array size: 960000		Iterations: 100000		Message size: 50		Processors used: 1024
Run		Stream time	Exchange time
0		0.000321	603.483622
1		0.000218	603.324519
2		0.000181	603.161485
3		0.000212	603.223627
4		0.000184	603.204610
5		0.000245	603.630681
6		0.000160	603.288142
7		0.000229	603.485361
8		0.000252	603.275033
9		0.000215	603.136862
Average:	0.000222	603.321394
Deviation:	0.000043	0.153280
