Array size: 60000		Iterations: 100000		Message size: 25		Halo depth: 10	Processors used: 16384
Run		Stream time	Exchange time
0		13.435968	0.001083
1		3.234819	0.000505
2		3.225048	0.000648
3		3.230839	0.000441
4		3.254325	0.000591
5		3.226910	0.001091
6		3.237615	0.000515
7		3.242580	0.000290
8		3.237690	0.000321
9		3.235710	0.000242
Average:	4.256150	0.000573
Deviation:	3.059949	0.000285
