Array size: 960000		Iterations: 100000		Message size: 50		Processors used: 1024
Run		Stream time	Exchange time
0		448.146338	0.000145
1		448.099815	0.000035
2		448.010676	0.000433
3		448.138172	0.000141
4		447.960872	0.000043
5		448.107784	0.000307
6		448.083535	0.000491
7		447.939139	0.000110
8		448.038904	0.000333
9		448.094827	0.000089
Average:	448.062006	0.000213
Deviation:	0.068170	0.000157
